,smoothness_flatfield,smoothness_darkfield,sparse_cost_darkfield,fitting_mode,sort_intensity,channel_index,use_weight,rep,entropy,fourier_L0_norm,autotune_cost
0,0.001,0.001,0.001,approximate,False,2,False,0,3.367404641958552,0.3664089478348562,3657.456882990521
1,0.001,0.001,0.001,approximate,False,2,False,1,3.36586148946976,0.3665159062433151,3658.524923922621
2,0.001,0.001,0.001,approximate,False,2,False,2,3.3545490260796145,0.3669742994224246,3663.0975432503255
3,0.001,0.001,0.001,approximate,False,2,False,3,3.365075567275005,0.3689301103199584,3682.6661787668595
4,0.001,0.001,0.001,approximate,False,2,False,4,3.391930650304789,0.36702013874033557,3663.5933180536604
5,0.001,0.001,0.046415888336127795,approximate,False,2,False,0,3.3523049315307056,0.36462121443632917,3639.5644492948227
6,0.001,0.001,0.046415888336127795,approximate,False,2,False,1,3.3621717382859067,0.36619503101793843,3655.31248191767
7,0.001,0.001,0.046415888336127795,approximate,False,2,False,2,3.389211156121559,0.36711181737615745,3664.507384917696
8,0.001,0.001,0.046415888336127795,approximate,False,2,False,3,3.3664126791370115,0.36763132964581485,3669.6797091372855
9,0.001,0.001,0.046415888336127795,approximate,False,2,False,4,3.3746472044214086,0.3659505546557467,3652.8801937618887
10,0.001,0.001,2.1544346900318843,approximate,False,2,False,0,3.3734888784754253,0.36665342419704794,3659.9077308489545
11,0.001,0.001,2.1544346900318843,approximate,False,2,False,1,3.3630264428582795,0.36593527488310973,3652.715775273956
12,0.001,0.001,2.1544346900318843,approximate,False,2,False,2,3.373319147054545,0.3672493353298903,3665.8666724459576
13,0.001,0.001,2.1544346900318843,approximate,False,2,False,3,3.3773011170999916,0.36628670965376037,3656.244397654704
14,0.001,0.001,2.1544346900318843,approximate,False,2,False,4,3.383845592327331,0.3669590196497876,3662.9740420902035
15,0.001,0.001,100.0,approximate,False,2,False,0,3.457189456918444,0.3662408703358494,3655.8658928154123
16,0.001,0.001,100.0,approximate,False,2,False,1,3.421152397117963,0.36657702533386305,3659.1914057357485
17,0.001,0.001,100.0,approximate,False,2,False,2,3.4593410169612415,0.3669590196497876,3663.0495375148375
18,0.001,0.001,100.0,approximate,False,2,False,3,3.5146132548441074,0.36784524646273264,3671.967077882171
19,0.001,0.001,100.0,approximate,False,2,False,4,3.5200529873087696,0.36763132964581485,3669.8333494454573
20,0.001,0.046415888336127795,0.001,approximate,False,2,False,0,3.336770636878289,0.3659505546557467,3652.8423171943455
21,0.001,0.046415888336127795,0.001,approximate,False,2,False,1,3.3855262209979564,0.3671576566940684,3664.9620931616823
