,smoothness_flatfield,smoothness_darkfield,sparse_cost_darkfield,fitting_mode,sort_intensity,channel_index,use_weight,rep,entropy,fourier_L0_norm,autotune_cost
0,0.001,0.001,0.001,approximate,False,2,True,0,3.7894903067137298,0.3246798887632552,3240.5883779392657
1,0.001,0.001,0.001,approximate,False,2,True,1,3.6939077146700563,0.3234422271796596,3228.1161795112657
2,0.001,0.001,0.001,approximate,False,2,True,2,3.8122780565602428,0.3240381383125019,3234.1936611815795
3,0.001,0.001,0.001,approximate,False,2,True,3,3.8980494899211067,0.3241450967209608,3235.3490166995293
4,0.001,0.001,0.001,approximate,False,2,True,4,3.809075665532211,0.3279650398802066,3273.4594744675983
5,0.001,0.001,0.046415888336127795,approximate,False,2,True,0,3.800518501500655,0.3252146808055496,3245.947326556997
6,0.001,0.001,0.046415888336127795,approximate,False,2,True,1,3.8532197915359405,0.3229379946826391,3223.233166617927
7,0.001,0.001,0.046415888336127795,approximate,False,2,True,2,3.8284885694393473,0.32553555603092627,3249.184048878702
8,0.001,0.001,0.046415888336127795,approximate,False,2,True,3,3.9103620866614115,0.32636066375332334,3257.5169996198947
9,0.001,0.001,0.046415888336127795,approximate,False,2,True,4,3.7866321762322355,0.32400757876722797,3233.8624198485118
10,0.001,0.001,2.1544346900318843,approximate,False,2,True,0,3.8248453526407786,0.3249243651254469,3243.06849660711
11,0.001,0.001,2.1544346900318843,approximate,False,2,True,1,3.8694439867148893,0.3269412951135287,3263.282395122002
12,0.001,0.001,2.1544346900318843,approximate,False,2,True,2,3.806314775595772,0.32558139534883723,3249.620268263968
13,0.001,0.001,2.1544346900318843,approximate,False,2,True,3,3.8917195662564232,0.32581059193839196,3251.997638950176
14,0.001,0.001,2.1544346900318843,approximate,False,2,True,4,3.823509662595652,0.3250313235339058,3244.1367450016537
15,0.001,0.001,100.0,approximate,False,2,True,0,3.848479478549217,0.322158726278153,3215.435742260079
16,0.001,0.001,100.0,approximate,False,2,True,1,3.9052784187303526,0.31864437857164685,3180.3490641351987
17,0.001,0.001,100.0,approximate,False,2,True,2,3.8301328920317057,0.3226782385478104,3220.6125183701356
18,0.001,0.001,100.0,approximate,False,2,True,3,3.835277849017191,0.3214405769642148,3208.241047491165
19,0.001,0.001,100.0,approximate,False,2,True,4,3.9362415360531373,0.3220364880970571,3214.3011225066243
20,0.001,0.046415888336127795,0.001,approximate,False,2,True,0,3.844363653492058,0.32660514011551506,3259.8957648086425
21,0.001,0.046415888336127795,0.001,approximate,False,2,True,1,3.802593620379901,0.3254133178498304,3247.935772118684
22,0.001,0.046415888336127795,0.001,approximate,False,2,True,2,3.8330712495120247,0.3251230021697277,3245.0630929467893
23,0.001,0.046415888336127795,0.001,approximate,False,2,True,3,3.8709556829888414,0.3222504049139749,3216.375004822738
24,0.001,0.046415888336127795,0.001,approximate,False,2,True,4,3.8324868237145084,0.3251535617150017,3245.3681039737316
25,0.001,0.046415888336127795,0.046415888336127795,approximate,False,2,True,0,3.8091296521934574,0.32400757876722797,3233.884917324473
26,0.001,0.046415888336127795,0.046415888336127795,approximate,False,2,True,1,3.882726347419313,0.32480212694435107,3241.9039957909304
27,0.001,0.046415888336127795,0.046415888336127795,approximate,False,2,True,2,3.8781004168905047,0.3232588699080158,3226.466799497048
28,0.001,0.046415888336127795,0.046415888336127795,approximate,False,2,True,3,3.783104889472391,0.3259786694373988,3253.56979926346
29,0.001,0.046415888336127795,0.046415888336127795,approximate,False,2,True,4,3.859282304256665,0.3252299605781866,3246.1588880861227
30,0.001,0.046415888336127795,2.1544346900318843,approximate,False,2,True,0,3.798920003230193,0.3207835467408245,3201.634387411475
31,0.001,0.046415888336127795,2.1544346900318843,approximate,False,2,True,1,3.7470159106266907,0.3206001894691807,3199.748910602433
32,0.001,0.046415888336127795,2.1544346900318843,approximate,False,2,True,2,3.9158062204133244,0.3226629587751734,3220.5453939721474
33,0.001,0.046415888336127795,2.1544346900318843,approximate,False,2,True,3,3.853667488774823,0.3197750817467836,3191.604484956611
34,0.001,0.046415888336127795,2.1544346900318843,approximate,False,2,True,4,3.967919970498813,0.3227087980930844,3221.0559009013427
35,0.001,0.046415888336127795,100.0,approximate,False,2,True,0,3.8144746559425435,0.3116920820218195,3110.7352948741377
36,0.001,0.046415888336127795,100.0,approximate,False,2,True,1,3.8042873407336324,0.3098890688506555,3092.6949758472883
37,0.001,0.046415888336127795,100.0,approximate,False,2,True,2,3.9122776904528775,0.31257830883476456,3119.695366038098
38,0.001,0.046415888336127795,100.0,approximate,False,2,True,3,3.7463023118769594,0.3075054243192861,3068.8005455047382
39,0.001,0.046415888336127795,100.0,approximate,False,2,True,4,3.894048688342162,0.31190599883873726,3112.9540370757145
40,0.001,2.1544346900318843,0.001,approximate,False,2,True,0,3.8802840848800324,0.3187360572074687,3181.2408561595676
41,0.001,2.1544346900318843,0.001,approximate,False,2,True,1,3.7921246416773817,0.32011123674479725,3194.9044920896495
42,0.001,2.1544346900318843,0.001,approximate,False,2,True,2,3.812740185637569,0.3204932310607218,3198.7450507928556
43,0.001,2.1544346900318843,0.001,approximate,False,2,True,3,3.8608153016525146,0.31888885493383856,3182.749364640038
44,0.001,2.1544346900318843,0.001,approximate,False,2,True,4,3.8517500190929668,0.3180331876661675,3174.1836266807677
45,0.001,2.1544346900318843,0.046415888336127795,approximate,False,2,True,0,3.9206922290150583,0.3195000458393179,3188.921150622194
46,0.001,2.1544346900318843,0.046415888336127795,approximate,False,2,True,1,3.9147495602238394,0.31464107814075726,3140.325530967796
47,0.001,2.1544346900318843,0.046415888336127795,approximate,False,2,True,2,3.765939829438444,0.31590929926962685,3152.858932525707
48,0.001,2.1544346900318843,0.046415888336127795,approximate,False,2,True,3,3.9374163565037823,0.31488555450294897,3142.7929613859937
49,0.001,2.1544346900318843,0.046415888336127795,approximate,False,2,True,4,3.8995857043731323,0.31645937108455824,3158.4932965499556
50,0.001,2.1544346900318843,2.1544346900318843,approximate,False,2,True,0,3.9601604968605697,0.3137548513278122,3131.508673774983
51,0.001,2.1544346900318843,2.1544346900318843,approximate,False,2,True,1,3.8892558773102723,0.3117837606576414,3111.7268624537246
52,0.001,2.1544346900318843,2.1544346900318843,approximate,False,2,True,2,3.7920556048113188,0.3089875622650735,3083.6676782555464
53,0.001,2.1544346900318843,2.1544346900318843,approximate,False,2,True,3,3.926844703168923,0.3116156831586346,3110.083676289515
54,0.001,2.1544346900318843,2.1544346900318843,approximate,False,2,True,4,3.8840841022885577,0.30914035999144335,3085.287684016722
55,0.001,2.1544346900318843,100.0,approximate,False,2,True,0,3.8952950922152016,0.3194694862940439,3188.5901580326545
56,0.001,2.1544346900318843,100.0,approximate,False,2,True,1,3.8855865058755286,0.316719127219387,3161.0768586997456
57,0.001,2.1544346900318843,100.0,approximate,False,2,True,2,3.9581696834045315,0.31960700424777677,3190.028212161172
58,0.001,2.1544346900318843,100.0,approximate,False,2,True,3,3.920005211426352,0.3195153256119549,3189.0732613309756
59,0.001,2.1544346900318843,100.0,approximate,False,2,True,4,3.93331589515443,0.3207224276502766,3201.1575923979203
60,0.001,100.0,0.001,approximate,False,2,True,0,3.9149469903561225,0.30666503682425206,3060.5653152328764
61,0.001,100.0,0.001,approximate,False,2,True,1,3.9646697077550437,0.30591632796503987,3053.1279493581537
62,0.001,100.0,0.001,approximate,False,2,True,2,3.949480633832039,0.30273813525654736,3021.3308331993057
63,0.001,100.0,0.001,approximate,False,2,True,3,3.94252577508601,0.3067872750053479,3061.815275828565
64,0.001,100.0,0.001,approximate,False,2,True,4,3.933874475363594,0.3033493261620267,3027.4271360956304
65,0.001,100.0,0.046415888336127795,approximate,False,2,True,0,3.7949516723213534,0.31210463588301807,3114.841310502502
66,0.001,100.0,0.046415888336127795,approximate,False,2,True,1,3.9085732865629295,0.3154356263178804,3148.264836465367
67,0.001,100.0,0.046415888336127795,approximate,False,2,True,2,3.9267101280625027,0.3135562142835315,3129.488852963377
68,0.001,100.0,0.046415888336127795,approximate,False,2,True,3,3.9375153159632363,0.31445772086911344,3138.5147240070974
69,0.001,100.0,0.046415888336127795,approximate,False,2,True,4,3.9298122099675545,0.314014607462641,3134.0758868363773
70,0.001,100.0,2.1544346900318843,approximate,False,2,True,0,3.949433107660687,0.3224490419582557,3218.439852690218
71,0.001,100.0,2.1544346900318843,approximate,False,2,True,1,3.951683703965139,0.3219600892338722,3213.552576042687
72,0.001,100.0,2.1544346900318843,approximate,False,2,True,2,3.8764466850806727,0.31762063380496897,3170.0827847347705
73,0.001,100.0,2.1544346900318843,approximate,False,2,True,3,3.8739613242751916,0.3172844788069554,3166.7187493938286
74,0.001,100.0,2.1544346900318843,approximate,False,2,True,4,3.9330160970999892,0.32338110808911164,3227.7440969882164
75,0.001,100.0,100.0,approximate,False,2,True,0,3.8731268882902423,0.31662744858356506,3160.1476127239407
76,0.001,100.0,100.0,approximate,False,2,True,1,3.8771086732460565,0.31781927084924977,3172.0698171657436
77,0.001,100.0,100.0,approximate,False,2,True,2,3.877714781086448,0.31759007425969504,3169.778457378037
78,0.001,100.0,100.0,approximate,False,2,True,3,3.9130444953605243,0.32084466583137244,3202.3597028090853
79,0.001,100.0,100.0,approximate,False,2,True,4,3.971649158139235,0.32118082082938604,3205.7798574519998
80,0.046415888336127795,0.001,0.001,approximate,False,2,True,0,3.499571978008608,0.17994988234575068,1792.9983954355155
81,0.046415888336127795,0.001,0.001,approximate,False,2,True,1,3.4868650377035593,0.18731473275677657,1866.6341926054693
82,0.046415888336127795,0.001,0.001,approximate,False,2,True,2,3.4869969098538642,0.18355590868807872,1829.046083790641
83,0.046415888336127795,0.001,0.001,approximate,False,2,True,3,3.490282384113836,0.1800415609815726,1793.9058921998399
84,0.046415888336127795,0.001,0.001,approximate,False,2,True,4,3.4964304559700636,0.17698560645417596,1763.3524949977298
85,0.046415888336127795,0.001,0.046415888336127795,approximate,False,2,True,0,3.4889319708080233,0.17871222076215507,1780.6111395923585
86,0.046415888336127795,0.001,0.046415888336127795,approximate,False,2,True,1,3.4890694036293457,0.17311982397701922,1724.6873091738216
87,0.046415888336127795,0.001,0.046415888336127795,approximate,False,2,True,2,3.486472060248084,0.18705497662194787,1864.0362382797268
88,0.046415888336127795,0.001,0.046415888336127795,approximate,False,2,True,3,3.4813453471309033,0.18563395776670844,1849.8209230142152
89,0.046415888336127795,0.001,0.046415888336127795,approximate,False,2,True,4,3.4865792362908143,0.17894141735170982,1782.9007527533888
90,0.046415888336127795,0.001,2.1544346900318843,approximate,False,2,True,0,3.7485696500184935,0.17973596552883292,1791.1082249383476
91,0.046415888336127795,0.001,2.1544346900318843,approximate,False,2,True,1,3.7540130030199403,0.1790330959875317,1784.0849728783369
92,0.046415888336127795,0.001,2.1544346900318843,approximate,False,2,True,2,3.7441826968719356,0.17272254988845767,1720.9696815814486
93,0.046415888336127795,0.001,2.1544346900318843,approximate,False,2,True,3,3.77299854042281,0.17742871986064848,1768.0601971469075
94,0.046415888336127795,0.001,2.1544346900318843,approximate,False,2,True,4,3.7573326142091625,0.17261559147999878,1719.913247414197
95,0.046415888336127795,0.001,100.0,approximate,False,2,True,0,3.890878970522042,0.1881092809338997,1874.9836883095188
96,0.046415888336127795,0.001,100.0,approximate,False,2,True,1,3.8718158932437055,0.1888274302478379,1882.1461183716226
97,0.046415888336127795,0.001,100.0,approximate,False,2,True,2,3.836527861748431,0.1898358952418788,1892.1954802805365
98,0.046415888336127795,0.001,100.0,approximate,False,2,True,3,3.899639169594472,0.18216544937811324,1815.5541329507269
99,0.046415888336127795,0.001,100.0,approximate,False,2,True,4,3.861729404093875,0.1804082755248602,1797.9444846526958
100,0.046415888336127795,0.046415888336127795,0.001,approximate,False,2,True,0,3.4872828905516315,0.1786663814442441,1780.1510973329925
101,0.046415888336127795,0.046415888336127795,0.001,approximate,False,2,True,1,3.4925930677901946,0.1835711884607157,1829.2044776749474
