,smoothness_flatfield,fitting_mode,sort_intensity,channel_index,use_weight,rep,entropy,fourier_L0_norm,autotune_cost
0,0.001,ladmap,False,2,True,0,4.504657470572797,0.3830333404638939,3823.711514574806
1,0.001,ladmap,False,2,True,1,4.500718195926071,0.3826666259206063,3820.045003001633
2,0.001,ladmap,False,2,True,2,4.508785855654289,0.38370565045992117,3830.4342304615825
3,0.001,ladmap,False,2,True,3,4.519276181046549,0.3832014179629007,3825.392479326224
4,0.001,ladmap,False,2,True,4,4.512803732560195,0.38477523454450996,3841.129317213145
5,0.001,ladmap,False,2,False,0,3.8060583705511593,0.3851266693151606,3845.072751522157
6,0.001,ladmap,False,2,False,1,3.8067790057723987,0.38396540659474987,3833.460844953271
7,0.001,ladmap,False,2,False,2,3.8061852310720146,0.3851572288604346,3845.378473835418
8,0.001,ladmap,False,2,False,3,3.8066285625554075,0.38480579408978394,3841.8645694603947
9,0.001,ladmap,False,2,False,4,3.8068125937516366,0.3848363536350579,3842.1703489443307
10,0.001,approximate,False,2,True,0,4.553270205861478,0.3533753017755096,3527.1745178242045
11,0.001,approximate,False,2,True,1,4.554695848689089,0.35276411087003023,3521.0624687307227
12,0.001,approximate,False,2,True,2,4.544481391228161,0.35420040949790665,3535.4249163630034
13,0.001,approximate,False,2,True,3,4.549472489792499,0.35467408244965315,3540.161660280369
14,0.001,approximate,False,2,True,4,4.54583473190747,0.35395593313571494,3532.9803287953487
15,0.001,approximate,False,2,False,0,3.6272300338565766,0.38827430247837913,3876.370254817648
16,0.001,approximate,False,2,False,1,3.6271358001429594,0.38928276747242,3886.4548105243434
17,0.001,approximate,False,2,False,2,3.626443381795492,0.38945084497142685,3888.134893096064
18,0.001,approximate,False,2,False,3,3.627229343880238,0.3893897258808789,3887.524488152669
19,0.001,approximate,False,2,False,4,3.6271310093820555,0.3888396540659475,3882.0236716688573
20,0.0022758459260747888,ladmap,False,2,True,0,4.501267139234856,0.37530177550958044,3746.3930490952744
21,0.0022758459260747888,ladmap,False,2,True,1,4.504345127077639,0.37501145982947776,3743.4906482841247
22,0.0022758459260747888,ladmap,False,2,True,2,4.503110815532252,0.3743849891513614,3737.224822545861
23,0.0022758459260747888,ladmap,False,2,True,3,4.509331172919863,0.37363628029214924,3729.7381753452237
24,0.0022758459260747888,ladmap,False,2,True,4,4.509652146550548,0.3744308284692724,3737.6824070820676
25,0.0022758459260747888,ladmap,False,2,False,0,3.8063189519388922,0.3832014179629007,3825.8204985809457
26,0.0022758459260747888,ladmap,False,2,False,1,3.806760919607266,0.3835681325061883,3829.4880859814907
27,0.0022758459260747888,ladmap,False,2,False,2,3.806607861710599,0.3833542156892705,3827.348764754416
28,0.0022758459260747888,ladmap,False,2,False,3,3.8065712862441665,0.3828347034196131,3822.153605482375
29,0.0022758459260747888,ladmap,False,2,False,4,3.8068727197527146,0.382926382055435,3823.0706932741027
30,0.0022758459260747888,approximate,False,2,True,0,4.550707488953848,0.329447177825994,3287.890779733272
31,0.0022758459260747888,approximate,False,2,True,1,4.547174289989493,0.3295846957797268,3289.265767058449
32,0.0022758459260747888,approximate,False,2,True,2,4.53820137812084,0.3284387128319531,3277.8054431456917
33,0.0022758459260747888,approximate,False,2,True,3,4.546276743217024,0.32900406441952146,3283.45893459241
34,0.0022758459260747888,approximate,False,2,True,4,4.541887706436934,0.3298597316871925,3292.0157392236424
35,0.0022758459260747888,approximate,False,2,False,0,3.6263826382993303,0.3831861381902637,3825.487764540936
36,0.0022758459260747888,approximate,False,2,False,1,3.626387474964627,0.38424044250221556,3836.03081249712
37,0.0022758459260747888,approximate,False,2,False,2,3.625655812061728,0.38407236500320874,3834.349305844149
38,0.0022758459260747888,approximate,False,2,False,3,3.626370483649241,0.38424044250221556,3836.0307955058047
39,0.0022758459260747888,approximate,False,2,False,4,3.6262482867058976,0.38355285273355133,3829.1547756222194
40,0.005179474679231213,ladmap,False,2,True,0,4.502844250104961,0.3523362772361947,3516.721636415407
41,0.005179474679231213,ladmap,False,2,True,1,4.499336607912555,0.3517250863307154,3510.6099109601264
42,0.005179474679231213,ladmap,False,2,True,2,4.4796509019363135,0.3523209974635577,3516.568411753887
43,0.005179474679231213,ladmap,False,2,True,3,4.508925793592742,0.3530849860954069,3524.2082858153017
44,0.005179474679231213,ladmap,False,2,True,4,4.496153150168524,0.3540934510894478,3534.2928556129104
45,0.005179474679231213,ladmap,False,2,False,0,3.805290408946251,0.3779146166305045,3772.9514567139913
46,0.005179474679231213,ladmap,False,2,False,1,3.805945660701926,0.3799468263912233,3793.274209572935
47,0.005179474679231213,ladmap,False,2,False,2,3.8060323043986295,0.37846468844543596,3778.4529167587584
48,0.005179474679231213,ladmap,False,2,False,3,3.806018938311108,0.3787550041255386,3781.3560601936965
49,0.005179474679231213,ladmap,False,2,False,4,3.806212089073433,0.38034410047978484,3797.247216886922
50,0.005179474679231213,approximate,False,2,True,0,4.524564923164633,0.3040980350212389,3034.39465840635
51,0.005179474679231213,approximate,False,2,True,1,4.547848928057481,0.3016532713993216,3009.9467142948133
52,0.005179474679231213,approximate,False,2,True,2,4.524244575395674,0.30386883843168416,3032.101938190806
53,0.005179474679231213,approximate,False,2,True,3,4.528423941500727,0.3038229991137732,3031.643529049787
54,0.005179474679231213,approximate,False,2,True,4,4.544246050537414,0.30619136387250556,3055.327358939025
55,0.005179474679231213,approximate,False,2,False,0,3.624667368580203,0.36761604987317786,3669.7851661003588
56,0.005179474679231213,approximate,False,2,False,1,3.624685922355504,0.3687161935030407,3680.7866209527624
