,smoothness_flatfield,fitting_mode,sort_intensity,channel_index,use_weight,rep,entropy,fourier_L0_norm,autotune_cost,entropy2,autotune_cost2
0,0.001,ladmap,False,0,True,0,2.548106619126789,0.32694439312765566,12.356438412956459,4.005775383903443,13.814107177733113
1,0.001,ladmap,False,0,True,1,2.445714723919489,0.3261438512223659,12.230030260590466,4.007521639258048,13.791837175929025
2,0.001,ladmap,False,0,True,2,2.477197881440115,0.32368064535993596,12.187617242238193,4.0064261207540355,13.716845481552115
3,0.001,ladmap,False,0,True,3,2.468213052808729,0.32198719132951537,12.127828792694189,4.007302734544993,13.666918474430453
4,0.001,ladmap,False,0,True,4,2.3559319535201264,0.3217254757066322,12.007696224719092,4.006778075385225,13.658542346584191
5,0.001,ladmap,False,0,False,0,5.316684338675539,0.3877547878563951,16.949327974367392,5.316684338675539,16.949327974367392
6,0.001,ladmap,False,0,False,1,5.316083211685243,0.38732372683046984,16.935795016599336,5.316083211685243,16.935795016599336
7,0.001,ladmap,False,0,False,2,5.316756833459107,0.38843216946856335,16.969721917516008,5.316756833459107,16.969721917516008
8,0.001,ladmap,False,0,False,3,5.316940201311621,0.38826282406552126,16.96482492327726,5.316940201311621,16.96482492327726
9,0.001,ladmap,False,0,False,4,5.315639589257585,0.3873083317938297,16.934889543072476,5.315639589257585,16.934889543072476
10,0.001,approximate,False,0,True,0,3.433021050105709,0.3900794383890634,15.135404201777611,3.89686336519445,15.599246516866351
11,0.001,approximate,False,0,True,1,3.4242931653939293,0.38989469794938114,15.121134103875363,3.89819986778223,15.595040806263665
12,0.001,approximate,False,0,True,2,3.4049350303267496,0.3900178582425026,15.105470777601829,3.897666533027604,15.598202280302683
13,0.001,approximate,False,0,True,3,3.4251579457408305,0.3904335242317877,15.13816367269446,3.898335719035361,15.611341445988991
14,0.001,approximate,False,0,True,4,3.408230132580655,0.38961758728985774,15.096757751276387,3.8986407246545696,15.587168343350301
15,0.001,approximate,False,0,False,0,5.186637077531489,0.40741424964591416,17.409064566908913,5.186637077531489,17.409064566908913
16,0.001,approximate,False,0,False,1,5.187308011507887,0.40815321140464317,17.43190435364718,5.187308011507887,17.43190435364718
17,0.001,approximate,False,0,False,2,5.187959521265295,0.4091692838228955,17.46303803595216,5.187959521265295,17.46303803595216
18,0.001,approximate,False,0,False,3,5.1880307802343415,0.4072295092062319,17.4049160564213,5.1880307802343415,17.4049160564213
19,0.001,approximate,False,0,False,4,5.187020704843036,0.4081840014779235,17.43254074918074,5.187020704843036,17.43254074918074
20,0.0022758459260747883,ladmap,False,0,True,0,2.5335313974934492,0.32044768766549664,12.146962027458349,4.004738243161751,13.618168873126649
21,0.0022758459260747883,ladmap,False,0,True,1,2.4661881158582375,0.3195085904304452,12.051445828771595,4.006489992943875,13.591747705857232
22,0.0022758459260747883,ladmap,False,0,True,2,2.5185666715884856,0.31829238253587044,12.0673381476646,4.005812209295907,13.554583685372021
23,0.0022758459260747883,ladmap,False,0,True,3,2.415055582133149,0.31464375885214607,11.854368347697532,4.006286969327185,13.445599734891568
24,0.0022758459260747883,ladmap,False,0,True,4,2.4584464866929685,0.31539811564751524,11.920389956118425,4.005728533781206,13.467672003206662
25,0.0022758459260747883,ladmap,False,0,False,0,5.316966273756399,0.38496828622452123,16.866014860492037,5.316966273756399,16.866014860492037
26,0.0022758459260747883,ladmap,False,0,False,1,5.316708939063091,0.38350575774370343,16.821881671374193,5.316708939063091,16.821881671374193
27,0.0022758459260747883,ladmap,False,0,False,2,5.317021474934528,0.38395221380626887,16.835587889122593,5.317021474934528,16.835587889122593
28,0.0022758459260747883,ladmap,False,0,False,3,5.317115428514015,0.38349036270706327,16.821826309725914,5.317115428514015,16.821826309725914
29,0.0022758459260747883,ladmap,False,0,False,4,5.316138277173664,0.38398300387954926,16.835628393560143,5.316138277173664,16.835628393560143
30,0.0022758459260747883,approximate,False,0,True,0,3.432095314955624,0.3798263439866987,14.826885634556586,3.936224462738483,15.331014782339444
31,0.0022758459260747883,approximate,False,0,True,1,3.362682522605929,0.3793644928874931,14.743617309230721,3.937176802051244,15.318111588676036
32,0.0022758459260747883,approximate,False,0,True,2,3.3818859655815454,0.3792413325943716,14.759125943412693,3.936524238772887,15.313764216604035
33,0.0022758459260747883,approximate,False,0,True,3,3.3882637232837594,0.3795800234004557,14.775664425297432,3.937771567027466,15.325172269041138
34,0.0022758459260747883,approximate,False,0,True,4,3.385764077046192,0.37916435741117066,14.760694799381312,3.9377183528405832,15.312649075175704
35,0.0022758459260747883,approximate,False,0,False,0,5.18650047309694,0.4045045877209188,17.321638104724506,5.18650047309694,17.321638104724506
36,0.0022758459260747883,approximate,False,0,False,1,5.1872742219398535,0.40547447502925055,17.351508472817372,5.1872742219398535,17.351508472817372
37,0.0022758459260747883,approximate,False,0,False,2,5.187958210623279,0.4061980417513394,17.37389946316346,5.187958210623279,17.37389946316346
38,0.0022758459260747883,approximate,False,0,False,3,5.187920534155964,0.40527433955292813,17.346150720743807,5.187920534155964,17.346150720743807
39,0.0022758459260747883,approximate,False,0,False,4,5.186828443780534,0.40632120204446087,17.37646450511436,5.186828443780534,17.37646450511436
40,0.005179474679231213,ladmap,False,0,True,0,2.5481337077339545,0.30731572141141694,11.767605350076463,4.001844854234004,13.221316496576513
41,0.005179474679231213,ladmap,False,0,True,1,2.4709270545963156,0.30705400578853376,11.682547228252329,4.003319346863552,13.214939520519565
42,0.005179474679231213,ladmap,False,0,True,2,2.548048490668794,0.30685387031221134,11.753664600035135,4.002484823483317,13.208100932849657
