,true_flatfield_id,intensity,ave_count,n_images,blob_dist_key,rep,image_index,fitting_mode,smoothness_flatfield,time
0,0,10,100,10,unbiased,0,105,ladmap,0.09999999999999999,1.4591419696807861
1,0,10,100,10,unbiased,0,105,ladmap,0.2610157215682537,0.8435614109039307
2,0,10,100,10,unbiased,0,105,ladmap,0.6812920690579614,0.9550704956054688
3,0,10,100,10,unbiased,0,105,ladmap,1.7782794100389228,0.8978760242462158
4,0,10,100,10,unbiased,0,105,ladmap,4.641588833612779,0.9826886653900146
5,0,10,100,10,unbiased,0,105,ladmap,12.115276586285889,0.8030803203582764
6,0,10,100,10,unbiased,0,105,ladmap,31.622776601683796,1.1262874603271484
7,0,10,100,10,unbiased,0,105,ladmap,0.09999999999999999,0.062444448471069336
8,0,10,100,10,unbiased,0,105,ladmap,0.2610157215682537,0.04448127746582031
9,0,10,100,10,unbiased,0,105,ladmap,0.6812920690579614,0.040877342224121094
10,0,10,100,10,unbiased,0,105,ladmap,1.7782794100389228,0.0402681827545166
11,0,10,100,10,unbiased,0,105,ladmap,4.641588833612779,0.04005289077758789
12,0,10,100,10,unbiased,0,105,ladmap,12.115276586285889,0.04220438003540039
13,0,10,100,10,unbiased,0,105,ladmap,31.622776601683796,0.2168428897857666
14,0,10,100,10,unbiased,0,105,approximate,0.09999999999999999,0.8757495880126953
15,0,10,100,10,unbiased,0,105,approximate,0.2610157215682537,0.6502020359039307
16,0,10,100,10,unbiased,0,105,approximate,0.6812920690579614,0.6512720584869385
17,0,10,100,10,unbiased,0,105,approximate,1.7782794100389228,0.6770322322845459
18,0,10,100,10,unbiased,0,105,approximate,4.641588833612779,0.6836414337158203
19,0,10,100,10,unbiased,0,105,approximate,12.115276586285889,0.689032793045044
20,0,10,100,10,unbiased,0,105,approximate,31.622776601683796,0.8803195953369141
21,0,10,100,10,unbiased,1,106,ladmap,0.09999999999999999,0.9270718097686768
22,0,10,100,10,unbiased,1,106,ladmap,0.2610157215682537,0.9079411029815674
23,0,10,100,10,unbiased,1,106,ladmap,0.6812920690579614,0.9645397663116455
24,0,10,100,10,unbiased,1,106,ladmap,1.7782794100389228,0.9251604080200195
25,0,10,100,10,unbiased,1,106,ladmap,4.641588833612779,0.7625644207000732
26,0,10,100,10,unbiased,1,106,ladmap,12.115276586285889,0.723515510559082
27,0,10,100,10,unbiased,1,106,ladmap,31.622776601683796,0.9137156009674072
28,0,10,100,10,unbiased,1,106,approximate,0.09999999999999999,0.7113316059112549
29,0,10,100,10,unbiased,1,106,approximate,0.2610157215682537,0.6805121898651123
30,0,10,100,10,unbiased,1,106,approximate,0.6812920690579614,0.7022953033447266
31,0,10,100,10,unbiased,1,106,approximate,1.7782794100389228,0.721071720123291
32,0,10,100,10,unbiased,1,106,approximate,4.641588833612779,0.7190251350402832
33,0,10,100,10,unbiased,1,106,approximate,12.115276586285889,0.6665463447570801
34,0,10,100,10,unbiased,1,106,approximate,31.622776601683796,0.6820180416107178
35,0,10,100,10,unbiased,2,107,ladmap,0.09999999999999999,0.9428341388702393
36,0,10,100,10,unbiased,2,107,ladmap,0.2610157215682537,0.7465410232543945
37,0,10,100,10,unbiased,2,107,ladmap,0.6812920690579614,0.8134393692016602
38,0,10,100,10,unbiased,2,107,ladmap,1.7782794100389228,0.7489662170410156
39,0,10,100,10,unbiased,2,107,ladmap,4.641588833612779,0.7594907283782959
40,0,10,100,10,unbiased,2,107,ladmap,12.115276586285889,0.7606163024902344
41,0,10,100,10,unbiased,2,107,ladmap,31.622776601683796,1.107595443725586
42,0,10,100,10,unbiased,2,107,approximate,0.09999999999999999,0.6755328178405762
43,0,10,100,10,unbiased,2,107,approximate,0.2610157215682537,0.6866250038146973
44,0,10,100,10,unbiased,2,107,approximate,0.6812920690579614,0.8275442123413086
45,0,10,100,10,unbiased,2,107,approximate,1.7782794100389228,0.7035291194915771
46,0,10,100,10,unbiased,2,107,approximate,4.641588833612779,0.7114036083221436
47,0,10,100,10,unbiased,2,107,approximate,12.115276586285889,0.6841433048248291
48,0,10,100,10,unbiased,2,107,approximate,31.622776601683796,0.8325691223144531
49,0,10,100,10,unbiased,3,108,ladmap,0.09999999999999999,0.7489175796508789
50,0,10,100,10,unbiased,3,108,ladmap,0.2610157215682537,0.7397420406341553
51,0,10,100,10,unbiased,3,108,ladmap,0.6812920690579614,0.8667263984680176
52,0,10,100,10,unbiased,3,108,ladmap,1.7782794100389228,0.8632628917694092
53,0,10,100,10,unbiased,3,108,ladmap,4.641588833612779,0.7675974369049072
54,0,10,100,10,unbiased,3,108,ladmap,12.115276586285889,0.9096331596374512
55,0,10,100,10,unbiased,3,108,ladmap,31.622776601683796,0.9184908866882324
56,0,10,100,10,unbiased,3,108,approximate,0.09999999999999999,0.8830828666687012
57,0,10,100,10,unbiased,3,108,approximate,0.2610157215682537,0.6791706085205078
58,0,10,100,10,unbiased,3,108,approximate,0.6812920690579614,0.6723401546478271
59,0,10,100,10,unbiased,3,108,approximate,1.7782794100389228,0.6833822727203369
60,0,10,100,10,unbiased,3,108,approximate,4.641588833612779,0.6481554508209229
61,0,10,100,10,unbiased,3,108,approximate,12.115276586285889,0.6433193683624268
62,0,10,100,10,unbiased,3,108,approximate,31.622776601683796,0.6556899547576904
63,0,10,100,10,unbiased,4,109,ladmap,0.09999999999999999,0.7610762119293213
64,0,10,100,10,unbiased,4,109,ladmap,0.2610157215682537,0.9330401420593262
65,0,10,100,10,unbiased,4,109,ladmap,0.6812920690579614,1.0792338848114014
