,true_flatfield_id,intensity,ave_count,n_images,blob_dist_key,rep,image_index,fitting_mode,smoothness_flatfield,time_gpu,time_cpu,deviation,entropy,fourier_L0_norm,autotune_cost
0,0,10,0,10,biased,0,0,ladmap,0.0999999999999999,0.0538554191589355,,0.0243151889728748,1.2513276121462595,0.3239842886952252,3231.0942145643985
1,0,10,0,10,biased,0,0,ladmap,0.2610157215682537,0.0414381027221679,,0.0185497622194717,1.277065931219384,0.15257149871118203,1516.9920530430397
2,0,10,0,10,biased,0,0,ladmap,0.6812920690579614,0.0389325618743896,,0.0088404438473201,1.3074352445046482,0.02080520436970664,199.35947894157107
3,0,10,0,10,biased,0,0,ladmap,1.7782794100389228,0.0389151573181152,,0.0052472021420034,1.3262571883558085,0.0002454891371056831,1.3262571883558085
4,0,10,0,10,biased,0,0,ladmap,4.641588833612779,0.0386679172515869,,0.010590258758307,1.3350215518281512,0.0,1.3350215518281512
5,0,10,0,10,biased,0,0,ladmap,12.115276586285889,0.0339703559875488,,0.0210553342617557,1.361451592312012,0.0,1.361451592312012
6,0,10,0,10,biased,0,0,ladmap,31.6227766016838,0.191312551498413,,0.0463051688138442,1.4821127440320314,0.0,1.4821127440320314
7,0,10,0,10,biased,0,0,approximate,0.0999999999999999,0.0366990566253662,,0.0277961016511222,1.2697193050806679,0.46115134405302566,4602.783159835338
8,0,10,0,10,biased,0,0,approximate,0.2610157215682537,0.0351231098175048,,0.0245437681030538,1.269594398940721,0.36363078433779306,3627.577437776871
9,0,10,0,10,biased,0,0,approximate,0.6812920690579614,0.0356535911560058,,0.017200370897891,1.2877545449661156,0.14643427028353995,1455.6304573803657
10,0,10,0,10,biased,0,0,approximate,1.7782794100389228,0.0354406833648681,,0.0075739999517468,1.3117020782602165,0.01509758193199951,142.28752139825534
11,0,10,0,10,biased,0,0,approximate,4.641588833612779,0.0354115962982177,,0.005606436764281,1.3270544365984858,0.0,1.3270544365984858
12,0,10,0,10,biased,0,0,approximate,12.115276586285889,0.035654067993164,,0.0114643961440637,1.3366844367565685,0.0,1.3366844367565685
13,0,10,0,10,biased,0,0,approximate,31.6227766016838,0.0346210002899169,,0.0228693198552459,1.3675266200188514,0.0,1.3675266200188514
14,0,10,0,10,biased,1,1,ladmap,0.0999999999999999,0.0336182117462158,,0.0240332050795334,1.2520045360161747,0.3225113538725911,3216.365543261927
15,0,10,0,10,biased,1,1,ladmap,0.2610157215682537,0.0324912071228027,,0.0186635970561673,1.2732901338446945,0.15146679759420645,1505.9412660759092
16,0,10,0,10,biased,1,1,ladmap,0.6812920690579614,0.0323054790496826,,0.0091783016794162,1.302576891666118,0.0209893212225359,201.19578911702513
17,0,10,0,10,biased,1,1,ladmap,1.7782794100389228,0.0317420959472656,,0.0047255923680671,1.322104180492348,0.0003682337056585246,1.322104180492348
18,0,10,0,10,biased,1,1,ladmap,4.641588833612779,0.0321376323699951,,0.0091625262671791,1.3304115095613114,0.0,1.3304115095613114
19,0,10,0,10,biased,1,1,ladmap,12.115276586285889,0.0329363346099853,,0.0206062843010763,1.3603090303392487,0.0,1.3603090303392487
20,0,10,0,10,biased,1,1,ladmap,31.6227766016838,0.1916778087615966,,0.0460052844670718,1.4802024374518958,0.0,1.4802024374518958
21,0,10,0,10,biased,1,1,approximate,0.0999999999999999,0.0356471538543701,,0.0275937267770393,1.2668667204824375,0.4583895912605867,4575.16277932635
22,0,10,0,10,biased,1,1,approximate,0.2610157215682537,0.0347139835357666,,0.0243587823030079,1.266811489937304,0.35890511844850864,3580.3179959750237
23,0,10,0,10,biased,1,1,approximate,0.6812920690579614,0.034524917602539,,0.0173561618291969,1.2828140873691347,0.14520682459801154,1443.3510600674845
24,0,10,0,10,biased,1,1,approximate,1.7782794100389228,0.0344712734222412,,0.007775696764631,1.307111555741095,0.01522032650055235,143.51037656126462
25,0,10,0,10,biased,1,1,approximate,4.641588833612779,0.035032033920288,,0.0049451829142941,1.3231020115056011,6.137228427642077e-05,1.3231020115056011
26,0,10,0,10,biased,1,1,approximate,12.115276586285889,0.0346841812133789,,0.0101796293354576,1.3326039184415064,0.0,1.3326039184415064
27,0,10,0,10,biased,1,1,approximate,31.6227766016838,0.0349183082580566,,0.022230151351322,1.3655187385703556,0.0,1.3655187385703556
28,0,10,0,10,biased,2,2,ladmap,0.0999999999999999,0.0336940288543701,,0.0246719950961866,1.2508007265052308,0.32429115011660736,3234.162301892579
29,0,10,0,10,biased,2,2,ladmap,0.2610157215682537,0.0327365398406982,,0.0192473272368925,1.2760530153951963,0.15594697434638516,1550.7457964792468
30,0,10,0,10,biased,2,2,ladmap,0.6812920690579614,0.0324771404266357,,0.0101053668827176,1.30736954977848,0.019577758684178225,187.08495639156072
31,0,10,0,10,biased,2,2,ladmap,1.7782794100389228,0.0318226814270019,,0.0054890078635216,1.3277137008638435,0.0004296059899349454,1.3277137008638435
32,0,10,0,10,biased,2,2,ladmap,4.641588833612779,0.0318129062652587,,0.010669824403477,1.3370597796030366,0.0,1.3370597796030366
33,0,10,0,10,biased,2,2,ladmap,12.115276586285889,0.0323212146759033,,0.0221955801084755,1.366810205682076,0.0,1.366810205682076
34,0,10,0,10,biased,2,2,ladmap,31.6227766016838,0.1950867176055908,,0.0491932794300859,1.495355851660565,0.0,1.495355851660565
35,0,10,0,10,biased,2,2,approximate,0.0999999999999999,0.0353415012359619,,0.0279412261415958,1.2690797868212473,0.4578372407020989,4569.64148680781
