,true_flatfield_id,intensity,ave_count,n_images,blob_dist_key,rep,image_index,fitting_mode,smoothness_flatfield,time_gpu,time_cpu,deviation,entropy,fourier_L0_norm,autotune_cost
0,0,10,0,10,biased,0,0,ladmap,0.0999999999999999,12.112859010696411,,0.0243151889728748,1.2513276121462595,0.3236612702366127,3227.864029978273
1,0,10,0,10,biased,0,0,ladmap,0.2610157215682537,1.139761447906494,,0.0185497622194717,1.277065931219384,0.15136986301369862,1504.9756960682055
2,0,10,0,10,biased,0,0,ladmap,0.6812920690579614,1.060642957687378,,0.0088404438473201,1.3074352445046482,0.02029887920298879,194.29622727439258
3,0,10,0,10,biased,0,0,ladmap,1.7782794100389228,1.0704398155212402,,0.0052472021420034,1.3262571883558085,0.00018679950186799502,1.3262571883558085
4,0,10,0,10,biased,0,0,ladmap,4.641588833612779,0.868617057800293,,0.010590258758307,1.3350215518281512,0.0,1.3350215518281512
5,0,10,0,10,biased,0,0,ladmap,12.115276586285889,1.1636312007904053,,0.0210553342617557,1.361451592312012,0.0,1.361451592312012
6,0,10,0,10,biased,0,0,ladmap,31.6227766016838,1.2683367729187012,,0.0463051688138442,1.4821127440320314,0.0,1.4821127440320314
7,0,10,0,10,biased,0,0,approximate,0.0999999999999999,24.404444217681885,,0.0277961016511222,1.2697193050806679,0.46145703611457034,4605.840080450785
8,0,10,0,10,biased,0,0,approximate,0.2610157215682537,1.042452335357666,,0.0245437681030538,1.269594398940721,0.36363636363636365,3627.633230762577
9,0,10,0,10,biased,0,0,approximate,0.6812920690579614,1.1761884689331057,,0.017200370897891,1.2877545449661156,0.14533001245330013,1444.5878790779675
10,0,10,0,10,biased,0,0,approximate,1.7782794100389228,1.0260109901428225,,0.0075739999517468,1.3117020782602165,0.014632627646326276,137.63797854152298
11,0,10,0,10,biased,0,0,approximate,4.641588833612779,1.0335345268249512,,0.005606436764281,1.3270544365984858,0.0,1.3270544365984858
12,0,10,0,10,biased,0,0,approximate,12.115276586285889,1.0429356098175049,,0.0114643961440637,1.3366844367565685,0.0,1.3366844367565685
13,0,10,0,10,biased,0,0,approximate,31.6227766016838,1.0366804599761963,,0.0228693198552459,1.3675266200188514,0.0,1.3675266200188514
14,0,10,0,10,biased,1,1,ladmap,0.0999999999999999,1.7618720531463623,,0.0240332050795334,1.2520045360161747,0.32135740971357407,3204.826101671757
15,0,10,0,10,biased,1,1,ladmap,0.2610157215682537,0.8188865184783936,,0.0186635970561673,1.2732901338446945,0.15080946450809465,1499.3679352147913
16,0,10,0,10,biased,1,1,ladmap,0.6812920690579614,0.6074230670928955,,0.0091783016794162,1.302576891666118,0.020610211706102118,197.4046939526873
17,0,10,0,10,biased,1,1,ladmap,1.7782794100389228,0.8214936256408691,,0.0047255923680671,1.322104180492348,0.00037359900373599005,1.322104180492348
18,0,10,0,10,biased,1,1,ladmap,4.641588833612779,0.6290814876556396,,0.0091625262671791,1.3304115095613114,0.0,1.3304115095613114
19,0,10,0,10,biased,1,1,ladmap,12.115276586285889,0.8242895603179932,,0.0206062843010763,1.3603090303392487,0.0,1.3603090303392487
20,0,10,0,10,biased,1,1,ladmap,31.6227766016838,1.0036497116088867,,0.0460052844670718,1.4802024374518958,0.0,1.4802024374518958
21,0,10,0,10,biased,1,1,approximate,0.0999999999999999,1.7278311252593994,,0.0275937267770393,1.2668667204824375,0.4579701120797011,4570.967987517493
22,0,10,0,10,biased,1,1,approximate,0.2610157215682537,1.0682077407836914,,0.0243587823030079,1.266811489937304,0.3584682440846824,3575.9492523367617
23,0,10,0,10,biased,1,1,approximate,0.6812920690579614,1.0663230419158936,,0.0173561618291969,1.2828140873691347,0.14458281444582816,1437.1109585456506
24,0,10,0,10,biased,1,1,approximate,1.7782794100389228,1.0578839778900146,,0.007775696764631,1.307111555741095,0.01481942714819427,139.5013830376838
25,0,10,0,10,biased,1,1,approximate,4.641588833612779,1.0579829216003418,,0.0049451829142941,1.3231020115056011,6.2266500622665e-05,1.3231020115056011
26,0,10,0,10,biased,1,1,approximate,12.115276586285889,1.1291162967681885,,0.0101796293354576,1.3326039184415064,0.0,1.3326039184415064
27,0,10,0,10,biased,1,1,approximate,31.6227766016838,0.8320572376251221,,0.022230151351322,1.3655187385703556,0.0,1.3655187385703556
28,0,10,0,10,biased,2,2,ladmap,0.0999999999999999,1.8798954486846924,,0.0246719950961866,1.2508007265052308,0.3240971357409714,3232.2221581362187
29,0,10,0,10,biased,2,2,ladmap,0.2610157215682537,0.8145618438720703,,0.0192473272368925,1.2760530153951963,0.1546699875466999,1537.9759284823942
30,0,10,0,10,biased,2,2,ladmap,0.6812920690579614,0.6107537746429443,,0.0101053668827176,1.30736954977848,0.019178082191780823,183.0881914675867
31,0,10,0,10,biased,2,2,ladmap,1.7782794100389228,0.7926476001739502,,0.0054890078635216,1.3277137008638435,0.00037359900373599005,1.3277137008638435
32,0,10,0,10,biased,2,2,ladmap,4.641588833612779,0.6073670387268066,,0.010669824403477,1.3370597796030366,0.0,1.3370597796030366
33,0,10,0,10,biased,2,2,ladmap,12.115276586285889,0.619199275970459,,0.0221955801084755,1.366810205682076,0.0,1.366810205682076
34,0,10,0,10,biased,2,2,ladmap,31.6227766016838,1.0239055156707764,,0.0491932794300859,1.495355851660565,0.0,1.495355851660565
35,0,10,0,10,biased,2,2,approximate,0.0999999999999999,1.7436895370483398,,0.0279412261415958,1.2690797868212473,0.45828144458281445,4574.083525614965
