,true_flatfield_id,intensity,ave_count,n_images,blob_dist_key,rep
908,3,10,10,10,unbiased,3
909,3,10,10,10,unbiased,4
910,3,10,10,30,biased,0
911,3,10,10,30,biased,1
912,3,10,10,30,biased,2
913,3,10,10,30,biased,3
914,3,10,10,30,biased,4
915,3,10,10,30,unbiased,0
916,3,10,10,30,unbiased,1
917,3,10,10,30,unbiased,2
918,3,10,10,30,unbiased,3
919,3,10,10,30,unbiased,4
920,3,10,10,100,biased,0
921,3,10,10,100,biased,1
922,3,10,10,100,biased,2
923,3,10,10,100,biased,3
924,3,10,10,100,biased,4
925,3,10,10,100,unbiased,0
926,3,10,10,100,unbiased,1
927,3,10,10,100,unbiased,2
928,3,10,10,100,unbiased,3
929,3,10,10,100,unbiased,4
930,3,10,10,300,biased,0
931,3,10,10,300,biased,1
932,3,10,10,300,biased,2
933,3,10,10,300,biased,3
934,3,10,10,300,biased,4
935,3,10,10,300,unbiased,0
936,3,10,10,300,unbiased,1
937,3,10,10,300,unbiased,2
938,3,10,10,300,unbiased,3
939,3,10,10,300,unbiased,4
950,3,10,100,10,biased,0
951,3,10,100,10,biased,1
952,3,10,100,10,biased,2
953,3,10,100,10,biased,3
954,3,10,100,10,biased,4
955,3,10,100,10,unbiased,0
956,3,10,100,10,unbiased,1
957,3,10,100,10,unbiased,2
958,3,10,100,10,unbiased,3
959,3,10,100,10,unbiased,4
960,3,10,100,30,biased,0
961,3,10,100,30,biased,1
962,3,10,100,30,biased,2
963,3,10,100,30,biased,3
964,3,10,100,30,biased,4
965,3,10,100,30,unbiased,0
966,3,10,100,30,unbiased,1
967,3,10,100,30,unbiased,2
968,3,10,100,30,unbiased,3
969,3,10,100,30,unbiased,4
970,3,10,100,100,biased,0
971,3,10,100,100,biased,1
972,3,10,100,100,biased,2
973,3,10,100,100,biased,3
974,3,10,100,100,biased,4
975,3,10,100,100,unbiased,0
976,3,10,100,100,unbiased,1
977,3,10,100,100,unbiased,2
978,3,10,100,100,unbiased,3
979,3,10,100,100,unbiased,4
980,3,10,100,300,biased,0
981,3,10,100,300,biased,1
982,3,10,100,300,biased,2
983,3,10,100,300,biased,3
984,3,10,100,300,biased,4
985,3,10,100,300,unbiased,0
986,3,10,100,300,unbiased,1
987,3,10,100,300,unbiased,2
988,3,10,100,300,unbiased,3
989,3,10,100,300,unbiased,4
1000,3,100,10,10,biased,0
1001,3,100,10,10,biased,1
1002,3,100,10,10,biased,2
1003,3,100,10,10,biased,3
1004,3,100,10,10,biased,4
1005,3,100,10,10,unbiased,0
1006,3,100,10,10,unbiased,1
1007,3,100,10,10,unbiased,2
1008,3,100,10,10,unbiased,3
1009,3,100,10,10,unbiased,4
1010,3,100,10,30,biased,0
1011,3,100,10,30,biased,1
1012,3,100,10,30,biased,2
