,true_flatfield_id,intensity,ave_count,n_images,blob_dist_key,rep,image_index,fitting_mode,smoothness_flatfield,time_gpu,time_cpu,deviation
0,0,10,30,10,biased,0,0,ladmap,0.09999999999999999,12.788739681243896,,0.03918539117552318
1,0,10,30,10,biased,0,0,ladmap,0.2610157215682537,1.134671926498413,,0.03314253938050361
2,0,10,30,10,biased,0,0,ladmap,0.6812920690579614,0.93603515625,,0.02393604225026756
3,0,10,30,10,biased,0,0,ladmap,1.7782794100389228,0.9497237205505371,,0.014435950672657034
4,0,10,30,10,biased,0,0,ladmap,4.641588833612779,1.0355465412139893,,0.00974925152704165
5,0,10,30,10,biased,0,0,ladmap,12.115276586285889,0.7544121742248535,,0.020379533682971768
6,0,10,30,10,biased,0,0,ladmap,31.622776601683796,1.1557426452636719,,0.055495299036647495
7,0,10,30,10,biased,0,0,approximate,0.09999999999999999,15.980978012084961,,0.04218783135955967
8,0,10,30,10,biased,0,0,approximate,0.2610157215682537,0.9903669357299805,,0.03805915527555956
9,0,10,30,10,biased,0,0,approximate,0.6812920690579614,0.9136152267456055,,0.030167735673253798
10,0,10,30,10,biased,0,0,approximate,1.7782794100389228,0.7340826988220215,,0.020386081302379924
11,0,10,30,10,biased,0,0,approximate,4.641588833612779,0.9713881015777588,,0.01152126852778234
12,0,10,30,10,biased,0,0,approximate,12.115276586285889,0.9520871639251709,,0.010900791297582372
13,0,10,30,10,biased,0,0,approximate,31.622776601683796,0.9275667667388916,,0.025778495929764934
14,0,10,30,10,biased,1,1,ladmap,0.09999999999999999,1.461958646774292,,0.039707324318606435
15,0,10,30,10,biased,1,1,ladmap,0.2610157215682537,0.9738786220550537,,0.03181764003875405
16,0,10,30,10,biased,1,1,ladmap,0.6812920690579614,0.6045053005218506,,0.021333336976390317
17,0,10,30,10,biased,1,1,ladmap,1.7782794100389228,0.6071093082427979,,0.012785424280427515
18,0,10,30,10,biased,1,1,ladmap,4.641588833612779,0.6135411262512207,,0.013258907672410863
19,0,10,30,10,biased,1,1,ladmap,12.115276586285889,0.8138167858123779,,0.027939590118986155
20,0,10,30,10,biased,1,1,ladmap,31.622776601683796,1.0325133800506592,,0.05616887005953959
21,0,10,30,10,biased,1,1,approximate,0.09999999999999999,1.3064382076263428,,0.044359187445777146
22,0,10,30,10,biased,1,1,approximate,0.2610157215682537,0.9245564937591553,,0.03773482214550644
23,0,10,30,10,biased,1,1,approximate,0.6812920690579614,0.9257125854492188,,0.028430104909214785
24,0,10,30,10,biased,1,1,approximate,1.7782794100389228,0.9458625316619873,,0.017603648142224267
25,0,10,30,10,biased,1,1,approximate,4.641588833612779,0.9412808418273926,,0.010265772651805801
26,0,10,30,10,biased,1,1,approximate,12.115276586285889,0.9366869926452637,,0.016508734057461193
27,0,10,30,10,biased,1,1,approximate,31.622776601683796,0.9264307022094727,,0.033653354297468324
28,0,10,30,10,biased,2,2,ladmap,0.09999999999999999,1.3624787330627441,,0.03622326038618257
29,0,10,30,10,biased,2,2,ladmap,0.2610157215682537,0.8334751129150391,,0.030228291095466403
30,0,10,30,10,biased,2,2,ladmap,0.6812920690579614,0.7770829200744629,,0.01961701657714291
31,0,10,30,10,biased,2,2,ladmap,1.7782794100389228,0.7380332946777344,,0.011686940764718781
32,0,10,30,10,biased,2,2,ladmap,4.641588833612779,0.7948863506317139,,0.012295601195457737
33,0,10,30,10,biased,2,2,ladmap,12.115276586285889,0.6056089401245117,,0.026674329145895632
34,0,10,30,10,biased,2,2,ladmap,31.622776601683796,0.8263638019561768,,0.056168872918990934
35,0,10,30,10,biased,2,2,approximate,0.09999999999999999,1.312314510345459,,0.03972628514536798
36,0,10,30,10,biased,2,2,approximate,0.2610157215682537,0.9183471202850342,,0.035478373000704916
37,0,10,30,10,biased,2,2,approximate,0.6812920690579614,0.9413998126983643,,0.027133250875895104
38,0,10,30,10,biased,2,2,approximate,1.7782794100389228,0.922539234161377,,0.016407331135064165
39,0,10,30,10,biased,2,2,approximate,4.641588833612779,0.9472169876098633,,0.009843930723353501
40,0,10,30,10,biased,2,2,approximate,12.115276586285889,0.92787766456604,,0.015334565462512202
41,0,10,30,10,biased,2,2,approximate,31.622776601683796,0.9118759632110596,,0.03070477712173961
42,0,10,30,10,biased,3,3,ladmap,0.09999999999999999,1.3159682750701904,,0.038291497527851395
43,0,10,30,10,biased,3,3,ladmap,0.2610157215682537,0.8499507904052734,,0.032557617897874445
44,0,10,30,10,biased,3,3,ladmap,0.6812920690579614,0.8003079891204834,,0.023517371947365785
45,0,10,30,10,biased,3,3,ladmap,1.7782794100389228,0.7953746318817139,,0.016973292803766325
46,0,10,30,10,biased,3,3,ladmap,4.641588833612779,0.7240555286407471,,0.018592072573528785
47,0,10,30,10,biased,3,3,ladmap,12.115276586285889,0.6047720909118652,,0.0333819378929515
48,0,10,30,10,biased,3,3,ladmap,31.622776601683796,0.8200454711914062,,0.05616887005953959
49,0,10,30,10,biased,3,3,approximate,0.09999999999999999,1.320197343826294,,0.041634471192756706
50,0,10,30,10,biased,3,3,approximate,0.2610157215682537,0.9270739555358887,,0.03729211816070685
51,0,10,30,10,biased,3,3,approximate,0.6812920690579614,0.9230015277862549,,0.02919092327772515
52,0,10,30,10,biased,3,3,approximate,1.7782794100389228,0.9250361919403076,,0.01999676905334377
53,0,10,30,10,biased,3,3,approximate,4.641588833612779,0.9389162063598633,,0.01544399906574372
54,0,10,30,10,biased,3,3,approximate,12.115276586285889,0.9317305088043213,,0.020324240197057534
55,0,10,30,10,biased,3,3,approximate,31.622776601683796,0.9339804649353027,,0.038550519853875774
56,0,10,30,10,biased,4,4,ladmap,0.09999999999999999,1.3793201446533203,,0.04216307855676402
57,0,10,30,10,biased,4,4,ladmap,0.2610157215682537,0.8189210891723633,,0.03599163442404154
58,0,10,30,10,biased,4,4,ladmap,0.6812920690579614,0.61429762840271,,0.026651482024990104
59,0,10,30,10,biased,4,4,ladmap,1.7782794100389228,0.7862832546234131,,0.01823892776991589
